K=[abcd], qubit, qumode, single_gate, two_gate, total_gate, depth, latency
[+1-0-4-0], 170, 2, 3230, 598, 3828, 1778, 13026
[+1-0-0-4], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-4+1-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-4-0+1], 170, 2, 3230, 598, 3828, 1778, 13026
[-0+1-4-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-0+1-0-4], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-0-4+1], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-0+1-4], 170, 2, 3230, 598, 3828, 1778, 13026
[+4-1-0-0], 170, 2, 3230, 598, 3828, 1778, 13026
[+4-0-1-0], 170, 2, 3230, 598, 3828, 1778, 13026
[+4-0-0-1], 170, 2, 3230, 598, 3828, 1778, 13026
[-1+4-0-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-1-0+4-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-1-0-0+4], 170, 2, 3230, 598, 3828, 1778, 13026
[-0+4-1-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-0+4-0-1], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-1+4-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-1-0+4], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-0+4-1], 170, 2, 3230, 598, 3828, 1778, 13026
[-0-0-1+4], 170, 2, 3230, 598, 3828, 1778, 13026

[-5-0-0-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0-5-0-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0-0-5-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0-0-0-5], 170, 1, 3232, 596, 3828, 1791, 13115
[+5-0-0-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0+5-0-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0-0+5-0], 170, 1, 3232, 596, 3828, 1791, 13115
[-0-0-0+5], 170, 1, 3232, 596, 3828, 1791, 13115

